,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Fft_gx1,Fft_gy1,Fft_gz1,Fft_ax1,Fft_ay1,Fft_az1
900,0.34,-0.42,2.93,74.19,-141.75,4.75,-10.58,1.33,2.99,-0.71,0.01,0.67,0.24,613624,47884,W,0.6426919479898996,0.27211505519798584,0.32966210828322856,1.7016453778414167,2.591021289014309,1.2759284566981763,0.4932445011271785,-0.7698667914387779,1.5387128893763482,2.723847549097471,0.4410927841595735,-0.5564924586277326
901,0.34,-0.42,2.93,74.19,-141.75,4.75,-11.04,-5.8,-1.41,-0.71,0.01,0.67,0.24,613665,47925,W,0.22132833759281847,0.24533872829389117,-0.0701452819792327,-2.1505724462564433,-0.45728867283665786,1.3233303992197931,0.38496390408666603,2.422475676124531,1.475005357640176,2.657161063511579,2.682384923278506,2.8183293910301015
902,0.34,-0.42,2.93,74.19,-141.75,4.75,-12.65,-1.7,5.45,-0.71,0.01,0.67,0.24,613707,47967,W,-0.18669256129579676,0.2192262609798516,-0.47588968031226403,0.2807380327808095,2.795906791602289,1.284382442338928,0.2833275035371662,-0.6475308378939619,1.3765056360410957,2.577717276490621,-1.324615022937393,-0.08499874181398281
903,0.34,-0.42,2.93,74.19,-141.75,4.75,-10.12,-3.11,0.39,-0.71,0.01,0.67,0.24,613748,48008,W,-0.5667351090134628,0.19419859668724332,-0.8794328100683338,2.7285470308280266,-0.20948097880970787,1.1744130901324223,0.20004999315132221,2.5604257874605847,1.2476152600032326,2.5207226011326727,0.9718022322772544,-2.985117665039729
904,0.34,-0.42,2.93,118.38,-110.19,35.81,-10.12,-3.11,0.39,-0.71,0.01,0.67,0.24,613787,48047,W,-0.8906458047688828,0.16902695876202195,-1.2729571676219982,-1.0866015437129102,3.0924286955367664,1.0285685734436614,0.14306497485046368,-0.48632586353987484,1.0924000679389196,2.5187834001402107,-2.9223064913937327,0.4003393449140812
905,0.34,-0.42,2.93,118.38,-110.19,35.81,-8.86,-3.27,1.16,-0.71,0.01,0.67,0.24,613831,48091,W,-1.1429591799027004,0.1427740752679195,-1.6500487404338602,1.371391144185592,0.17045792114136105,0.8931132807814431,0.112984130466152,2.815028644359344,0.9176917947040117,2.5846332607180447,-0.5208565768026432,-2.501034913283279
906,0.17,0.06,0.11,118.38,-110.19,35.81,-8.86,-3.27,1.16,-0.71,0.01,0.67,0.24,613873,48133,W,-1.3605393124101601,0.11550000656358485,-2.007593077359619,-2.440131595035188,-2.7701255283762163,0.8029563419315071,0.10224848541712396,-0.09924380721407618,0.7331197037095126,2.688206935289434,1.925234292559668,0.902478027081267
907,0.17,0.06,0.11,118.38,-110.19,35.81,-9.13,-3.11,0.89,-0.71,0.01,0.67,0.24,613914,48174,W,-1.5991681228656887,0.08737468899975392,-2.3482230195689238,0.018551079978162584,0.6077009879118598,0.7589903985454891,0.09686835349962251,-2.935440989048156,0.5471711711425015,2.7749678731276157,-1.8754158965189318,-1.9361035859126188
908,0.17,0.06,0.11,118.38,-110.19,35.81,-9.32,-3.19,0.39,-0.71,0.01,0.67,0.24,613956,48216,W,-1.8608244154481604,0.06017167004167657,-2.682409062975591,2.41207608484024,-2.3707813338471264,0.7337463898271812,0.08882151508541641,0.49727194108943784,0.36958873777486745,2.816729647079559,0.5481601472552197,1.742502629724906
909,0.17,0.06,0.11,118.38,-110.19,35.81,-9.16,-3.08,0.77,-0.71,0.01,0.67,0.24,613995,48255,W,-2.1553785526430125,0.040481084579135906,-3.00481576718409,-1.5274822319068764,1.049660062191143,0.7052113464804608,0.07995162387561969,-2.3581083505342946,0.22549204757776203,2.8255693923021026,-2.6892870892856537,-0.2725768515618599
