,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx1,Fft_gx2,Fft_gx3,Fft_gy1,Fft_gy2,Fft_gy3,Fft_gz1,Fft_gz2,Fft_gz3
683,-0.06,-0.02,0.11,101.56,-11.31,-30.69,-9.47,-2.96,0.27,-0.71,0.01,0.67,0.24,604702,38962,W,0.01997820748707079,0.021604499799313726,0.0191092734016431,0.19084643477525082,0.009344670216344985,0.018490811664966602,0.37051132893167904,0.018239982174643423,0.05036010525345075
684,-0.09,-0.22,0.56,101.56,-11.31,-30.69,-9.47,-2.96,0.27,-0.71,0.01,0.67,0.24,604744,39004,W,0.0008530384796376171,0.03898224745686198,0.035996808212024896,0.22632840443084387,0.010787347198231434,0.021558153657004822,0.4727090529254734,0.033158417669382864,0.06766079884609529
685,-0.03,-0.59,1.11,101.56,-11.31,-30.69,-9.47,-2.96,0.27,-0.71,0.01,0.67,0.24,604787,39047,W,0.02212438981182537,0.06323448923484923,0.06082556104428656,0.26288414147255096,0.013558205402524205,0.025391762340008808,0.5966752158141082,0.050392768572958505,0.08759127531011138
686,-0.03,-0.59,1.11,101.56,-11.31,-30.69,-10.54,-3.34,0.23,-0.71,0.01,0.67,0.24,604830,39090,W,0.05562855737348021,0.0916768536178719,0.08958214121842546,0.3000071124042659,0.018493108394715005,0.03143061728568517,0.7409423288523309,0.06614895962615337,0.10756654773004747
687,-0.03,-0.59,1.11,101.56,-11.31,-30.69,-13.95,-3.65,0.93,-0.71,0.01,0.67,0.24,604872,39132,W,0.10227698879112107,0.11851817348350312,0.11766894927890222,0.3361126995953581,0.024237059466575037,0.037489783718167746,0.8966630824264857,0.08007867925036895,0.11989843031441455
688,-0.03,-0.59,1.11,101.56,-11.31,-30.69,-17.55,-3.04,0.73,-0.71,0.01,0.67,0.24,604915,39175,W,0.159382984793528,0.14125877073265536,0.14028145776381087,0.3684767885863041,0.03026861350874419,0.04295180739622388,1.0480676855673963,0.08834462655898202,0.1301230648180198
689,-0.03,-0.59,1.11,101.56,-11.31,-30.69,-13.19,-15.38,-4.94,-0.71,0.01,0.67,0.24,604958,39218,W,0.22186158577452705,0.15683338717290785,0.1549203627674225,0.3934884802495065,0.0350597343685299,0.04783471981166071,1.1769521608187734,0.09148058138823709,0.13417485606140284
690,-0.03,-0.59,1.11,101.56,-11.31,-30.69,-8.28,-9.97,-1.22,-0.71,0.01,0.67,0.24,605000,39260,W,0.28523645326554614,0.16329096094897572,0.16290354566341092,0.40728704361536405,0.03845311352692138,0.04964106703561015,1.266524274362897,0.08751422618401299,0.1320285372796404
691,-1.05,-0.27,-1.67,101.56,-11.31,-30.69,-8.28,-9.97,-1.22,-0.71,0.01,0.67,0.24,605043,39303,W,0.3482014419673371,0.16199831765848446,0.16405597161251995,0.4065957613081965,0.039425169406976615,0.04915688318026847,1.3036865350528528,0.07834267940160025,0.12770429315187098
692,0.86,0.73,-2.89,101.56,-11.31,-30.69,-8.28,-9.97,-1.22,-0.71,0.01,0.67,0.24,605087,39347,W,0.4117210448790631,0.15414937169558862,0.15878437250072672,0.38953845474694965,0.038295001941824405,0.04627382290407415,1.2815562941639784,0.06429979622626186,0.11671483985114987
693,0.86,0.73,-2.89,101.56,-11.31,-30.69,-9.36,-0.05,1.92,-0.71,0.01,0.67,0.24,605130,39390,W,0.47626632751181447,0.14314161249948337,0.15208541513522522,0.3566532204563412,0.03458478875177958,0.04054208692471285,1.201562915992173,0.04909774173816528,0.10512000592733411
