,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx1,Fft_gx2,Fft_gx3,Fft_gy1,Fft_gy2,Fft_gy3,Fft_gz1,Fft_gz2,Fft_gz3
35,0.14,-0.77,0.37,-29.94,-0.81,-7.25,-7.28,-6.52,5.75,-0.4,0.48,-0.19,0.76,368324,11536,W,0.21751392356070615,0.04832237438195504,0.021947855056397653,0.267529043779268,0.03249491269251094,0.05805026582832277,0.27709100344035503,0.058972950947333576,0.021372677626023007
36,0.14,-0.77,0.37,-29.94,-0.81,-7.25,-6.59,-6.29,5.45,-0.4,0.48,-0.19,0.76,368348,11560,W,0.17013217210675163,0.040376300994480786,0.017496689880679067,0.25825445765314164,0.03394846047918785,0.05717229028719776,0.21965900815794667,0.05102081135471734,0.01495728219955036
37,0.14,-0.77,0.37,-29.94,-0.81,-7.25,-6.39,-6.02,5.45,-0.4,0.48,-0.19,0.76,368367,11579,W,0.13389351717964368,0.03226965290275728,0.008904812794620055,0.231279985802082,0.03506070256807152,0.05218683674619932,0.1748462497913048,0.042120174004925626,0.00751746871777997
38,-0.12,-0.04,-0.03,-29.94,-0.81,-7.25,-6.39,-6.02,5.45,-0.4,0.48,-0.19,0.76,368386,11598,W,0.10717393687435148,0.023179492248812758,0.006259337875502375,0.1929788338205736,0.035017568364647596,0.04472744347096266,0.13969202478845336,0.03170215651065206,0.010995998426698876
39,-0.12,-0.04,-0.03,-29.94,-0.81,-7.25,-6.55,-5.94,5.25,-0.4,0.48,-0.19,0.76,368404,11616,W,0.08956523520018274,0.015379692327856841,0.009524912171207,0.15068933110205004,0.03316463714015703,0.03549091236865983,0.11255234521508677,0.021970108650414058,0.014857109525292626
40,-0.12,-0.04,-0.03,-29.94,-0.81,-7.25,-6.43,-5.6,4.87,-0.4,0.48,-0.19,0.76,368420,11632,W,0.07855207657992054,0.009736001533049418,0.013496601140355781,0.11720938944532056,0.029631394586962914,0.030281912230522297,0.09023005948768029,0.01315577072771178,0.01821310506192759
41,-0.15,-0.02,-0.12,-29.94,-0.81,-7.25,-6.43,-5.6,4.87,-0.4,0.48,-0.19,0.76,368537,11749,W,0.07165781139846639,0.008219116205443704,0.01522069563039319,0.11337611962283947,0.026589619315372712,0.029077613946540196,0.07137755142105173,0.007978698176675509,0.018288660632918306
42,-0.15,-0.02,-0.12,-29.94,-0.81,-7.25,-6.05,-5.63,5.1,-0.4,0.48,-0.19,0.76,368576,11788,W,0.06665237642992368,0.007589672576495128,0.014774761485190946,0.14071663701557802,0.02372677941580914,0.03185622245435133,0.056922485350943616,0.00574153703103316,0.015780698629858037
43,-0.15,-0.02,-0.12,-29.94,-0.81,-7.25,-6.47,-6.02,5.22,-0.4,0.48,-0.19,0.76,368603,11815,W,0.06252530653234145,0.007280379129350579,0.014586226310495923,0.17783618706777488,0.021947746038689472,0.033948423617258555,0.04859286865187963,0.004734546242473381,0.014298186591542557
44,-0.15,-0.02,-0.12,-29.94,-0.81,-7.25,-6.39,-6.09,5.37,-0.4,0.48,-0.19,0.76,368618,11830,W,0.059561225428260305,0.0069138906814279685,0.014378132870388674,0.21050678263212394,0.02036668981268585,0.03444296187794775,0.04710691838755471,0.004955036105408191,0.013370267116136968
45,0.0,0.46,-0.07,-29.94,-0.81,-7.25,-6.39,-6.09,5.37,-0.4,0.48,-0.19,0.76,368639,11851,W,0.057690728577344995,0.006885003264226883,0.014048150375952737,0.23155108143648145,0.018643652425994604,0.034912235626435854,0.05118902291323146,0.0065814037605827404,0.013325912623136647
46,0.0,0.46,-0.07,-29.94,-0.81,-7.25,-6.7,-6.52,5.52,-0.4,0.48,-0.19,0.76,368654,11866,W,0.056385759090682386,0.007449665074730358,0.013262423950210803,0.23702020712132477,0.017205038681626882,0.033967135242886234,0.0580606364262271,0.009498734858711125,0.01379623211326223
47,0.0,0.46,-0.07,-29.94,-0.81,-7.25,-7.55,-7.36,5.64,-0.4,0.48,-0.19,0.76,368668,11880,W,0.05496526546019703,0.008527679447612398,0.01250977135995365,0.22752045052703343,0.014064412110834786,0.030628533282670956,0.06425032728997734,0.014067688128955265,0.014939392999557169
48,0.03,0.81,-0.09,-29.94,-0.81,-7.25,-7.55,-7.36,5.64,-0.4,0.48,-0.19,0.76,368683,11895,W,0.053302414353885996,0.009964440988711274,0.011100073414657682,0.20804594282392622,0.012053502489460723,0.02606792107023357,0.07097304699617107,0.022705040062183452,0.018267698742316114
49,0.03,0.81,-0.09,-29.94,-0.81,-7.25,-8.31,-7.78,5.14,-0.4,0.48,-0.19,0.76,368698,11910,W,0.05216082395101539,0.011174959117557762,0.009496431648430803,0.1864069450540432,0.014564450262700538,0.023815370730331204,0.09052748921955055,0.03365400074933337,0.02646324476836323
50,0.15,0.35,0.15,-29.94,-0.81,-7.25,-8.31,-7.78,5.14,-0.4,0.48,-0.19,0.76,368712,11924,W,0.05400749968643152,0.012467253768438165,0.009002734351751652,0.1722719832257208,0.020972635003399746,0.02678436597208942,0.13712655976214,0.04713210324776733,0.040272493695514965
51,0.15,0.35,0.15,-29.94,-0.81,-7.25,-8.31,-7.78,5.14,-0.31,0.44,-0.07,0.84,368727,11939,W,0.06149149886350273,0.013832210630748923,0.00881555219288133,0.17228197878895654,0.028135072975239237,0.033372110563087226,0.20978942890474112,0.06023964265348101,0.05459076917083361
52,0.15,0.35,0.15,-2.12,12.94,-53.44,-8.31,-7.78,5.14,-0.31,0.44,-0.07,0.84,368741,11953,W,0.074845701941489,0.015575750343640733,0.008394185393448305,0.18404587026704758,0.03426453516465818,0.041037831661890144,0.29855484932134907,0.07256776872421106,0.06595116968363943
53,0.15,0.35,0.15,-2.12,12.94,-53.44,-8.96,-7.55,5.48,-0.31,0.44,-0.07,0.84,369026,12238,W,0.09205753002675736,0.01808421239962064,0.0075617909467847666,0.19858438187415006,0.03785818925502024,0.047694360559484374,0.3910590237259279,0.08156978660049577,0.07568285685405109
54,0.2,0.55,0.22,-2.12,12.94,-53.44,-8.96,-7.55,5.48,-0.31,0.44,-0.07,0.84,369052,12264,W,0.10995721713647198,0.020791483693571977,0.005836354018276305,0.2077377970202836,0.04010451068372892,0.051322614043179775,0.47414892701195344,0.0870141621799221,0.07929744180216894
55,0.2,0.55,0.22,-2.12,12.94,-53.44,-8.16,-4.56,3.42,-0.31,0.44,-0.07,0.84,369068,12280,W,0.12527540555201327,0.023323011419403572,0.003395727461842344,0.2070473282561877,0.040482419440900884,0.052763847359101536,0.5356266396925337,0.08727769382346455,0.07784921073416853
56,0.41,-0.28,1.64,-2.12,12.94,-53.44,-8.16,-4.56,3.42,-0.31,0.44,-0.07,0.84,369090,12302,W,0.13534610287995244,0.025225805339840496,0.0006979033147524077,0.1949239784421695,0.039161367670311316,0.05032341193629552,0.5662955631775791,0.08318476118405256,0.07240443827067926
57,0.41,-0.28,1.64,-2.12,12.94,-53.44,-7.12,-3.53,3.26,-0.31,0.44,-0.07,0.84,369105,12317,W,0.13841317490361105,0.026195039970570086,0.0026696930015664387,0.17408159692859493,0.03668624477974056,0.04442984205250339,0.5618753274241161,0.0744409642483002,0.06077646719645717
58,0.41,-0.28,1.64,-2.12,12.94,-53.44,-6.2,-2.42,3.23,-0.31,0.44,-0.07,0.84,369123,12335,W,0.13379147041002992,0.02583651162313898,0.00579545545043212,0.15310992236077298,0.03378882622523589,0.03926584001445877,0.5246195449100205,0.06248933292919985,0.04741742445174211
59,0.24,-0.21,1.55,-2.12,12.94,-53.44,-6.2,-2.42,3.23,-0.31,0.44,-0.07,0.84,369152,12364,W,0.12228920713607695,0.02446500815705463,0.008179499739202449,0.14458667422763138,0.031190729003278187,0.032679102518977966,0.46415224283403683,0.048325641060588544,0.03283057036794345
60,0.24,-0.21,1.55,-2.12,12.94,-53.44,-5.59,-1.3,2.92,-0.31,0.44,-0.07,0.84,369179,12391,W,0.10595631277735283,0.022365701627420347,0.00972763859781033,0.15578586103414296,0.028944129616352798,0.02806725526631823,0.39627880186935155,0.03429403005734958,0.01792991762895207
61,0.05,-0.36,1.39,-2.12,12.94,-53.44,-5.59,-1.3,2.92,-0.31,0.44,-0.07,0.84,369195,12407,W,0.0847929162390662,0.02253673530702905,0.010046466308930125,0.18215834081468998,0.027634138608127263,0.027465360704844923,0.34031290730550906,0.023149023263966888,0.007070684063922442
62,0.05,-0.36,1.39,-2.12,12.94,-53.44,-5.02,-0.46,2.88,-0.31,0.44,-0.07,0.84,369210,12422,W,0.061856759038596075,0.02435618222436502,0.012431711976461257,0.21386495937809402,0.025947030149890273,0.029566194041274828,0.31205525113924115,0.01641879448646149,0.001437019771398876
63,-0.01,-0.72,1.34,-2.12,12.94,-53.44,-5.02,-0.46,2.88,-0.31,0.44,-0.07,0.84,369223,12435,W,0.06353351441091369,0.02827157393391658,0.021055190627423018,0.2421687764781083,0.02417420428181314,0.0325314772313558,0.31141599314593454,0.01370470109860342,0.004991397577063387
64,-0.01,-0.72,1.34,-2.12,12.94,-53.44,-5.02,-0.46,2.88,-0.13,0.5,0.1,0.85,369238,12450,W,0.10994868720516057,0.034755879774825714,0.03505690828407794,0.2617696666616644,0.02416238114642295,0.034685344926372604,0.3236814163398878,0.014229824487554096,0.00836499504773514
